date,category,n_posts,mean_compound,bearish_share,bullish_share,neutral_share
2026-04-25,Fed,5,0.11181,0.2,0.8,0.0
2026-04-25,Global Central Banks,2,0.23962499999999998,0.0,0.5,0.5
2026-04-25,Inflation,8,0.49424999999999997,0.0,1.0,0.0
2026-04-25,Jobs & Economy,4,-0.4197000000000001,0.5,0.0,0.5
2026-04-25,Oil and energy,3,0.15401666666666666,0.0,0.6666666666666666,0.3333333333333333
2026-04-26,Econ Daily,15,-0.02772000000000002,0.3333333333333333,0.5333333333333333,0.13333333333333333
2026-04-26,Fed,6,0.3232333333333333,0.0,1.0,0.0
2026-04-26,Growth,1,0.8996999999999999,0.0,1.0,0.0
2026-04-26,Inflation,6,-0.03455833333333334,0.3333333333333333,0.6666666666666666,0.0
2026-04-26,Oil and energy,2,0.37204999999999994,0.0,1.0,0.0
2026-04-27,Econ Daily,16,-0.12870312500000003,0.4375,0.5625,0.0
2026-04-27,Fed,4,0.24062499999999998,0.25,0.5,0.25
2026-04-27,GDP,2,-0.235525,1.0,0.0,0.0
2026-04-27,Global Central Banks,2,0.308975,0.0,1.0,0.0
2026-04-27,Growth,4,0.04691250000000001,0.5,0.5,0.0
2026-04-27,Housing,2,0.520725,0.0,1.0,0.0
2026-04-27,Inflation,8,0.10349999999999995,0.25,0.625,0.125
2026-04-27,Oil and energy,9,-0.11949444444444444,0.4444444444444444,0.5555555555555556,0.0
2026-04-28,Econ Daily,28,0.03609107142857142,0.32142857142857145,0.6071428571428571,0.07142857142857142
2026-04-28,Fed,3,0.09011666666666666,0.3333333333333333,0.6666666666666666,0.0
2026-04-28,GDP,1,-0.6189,1.0,0.0,0.0
2026-04-28,Global Central Banks,1,-0.2216,1.0,0.0,0.0
2026-04-28,Growth,5,-0.09471000000000004,0.4,0.6,0.0
2026-04-28,Housing,3,-0.1849666666666667,0.3333333333333333,0.6666666666666666,0.0
2026-04-28,Inflation,5,-0.09067000000000003,0.4,0.6,0.0
2026-04-28,Jobs & Economy,2,-0.21822500000000006,0.5,0.5,0.0
2026-04-28,Oil and energy,17,-0.35192352941176475,0.6470588235294118,0.17647058823529413,0.17647058823529413
